key	読み上げる文
H-009_q	第四級アマチュア無線技士が、空中線電力10ワット以下で操作できる周波数の範囲として、正しいものはどれか。1番、21メガヘルツから30メガヘルツまで、又は8メガヘルツ以下。2番、18メガヘルツ以上、又は8メガヘルツ以下。3番、14メガヘルツから30メガヘルツまで。4番、3.5メガヘルツから30メガヘルツまでのすべて。
H-009_a	正解は、1番。21メガヘルツから30メガヘルツまで、又は8メガヘルツ以下。
H-009_e	解説。4アマは21メガヘルツから30メガヘルツまでと、8メガヘルツ以下が10ワット以下で使えます。10メガヘルツ帯、14メガヘルツ帯、18メガヘルツ帯は操作できません。また、モールス符号による通信操作は操作範囲に含まれません。
H-010_q	無線従事者は、その業務に従事しているとき、免許証をどうしておかなければならないか。1番、総務大臣に提出しておかなければならない。2番、無線局の免許状と一緒に保管しておかなければならない。3番、携帯していなければならない。4番、無線局に掲示しておかなければならない。
H-010_a	正解は、3番。携帯していなければならない。
H-010_e	解説。無線従事者は、業務に従事しているときは免許証を携帯していなければなりません。
H-011_q	無線従事者が免許の取消しの処分を受けたとき、免許証を返納しなければならない期限はどれか。1番、7日以内。2番、10日以内。3番、1箇月以内。4番、3箇月以内。
H-011_a	正解は、2番。10日以内。
H-011_e	解説。免許の取消しを受けた日から10日以内に、総務大臣に返納します。なくした免許証を、再交付の後に見つけたときも10日以内です。無線局の免許状の返納は1か月以内なので、区別して覚えましょう。
H-012_q	無線電話で呼出しを行うときの送信事項の順序と回数として、正しいものはどれか。1番、あいてきょくのよびだしふごう1回、こちらは1回、じきょくのよびだしふごう1回。2番、あいてきょくのよびだしふごう5回以下、こちらは1回、じきょくのよびだしふごう5回以下。3番、あいてきょくのよびだしふごう3回以下、こちらは1回、じきょくのよびだしふごう3回以下。4番、じきょくのよびだしふごう3回以下、こちらは1回、あいてきょくのよびだしふごう3回以下。
H-012_a	正解は、3番。あいてきょくのよびだしふごう3回以下、こちらは1回、じきょくのよびだしふごう3回以下。
H-012_e	解説。呼出しは、相手が先、自分が後。あいてきょく3回以下、こちらは1回、じきょく3回以下です。
H-013_q	無線電話で呼出しに応答するときの送信事項として、正しいものはどれか。1番、じきょくのよびだしふごう1回、こちらは1回、あいてきょくのよびだしふごう3回以下。2番、あいてきょくのよびだしふごう1回、こちらは1回、じきょくのよびだしふごう3回以下。3番、あいてきょくのよびだしふごう3回以下、こちらは1回、じきょくのよびだしふごう1回。4番、あいてきょくのよびだしふごう3回以下、こちらは1回、じきょくのよびだしふごう3回以下。
H-013_a	正解は、3番。あいてきょくのよびだしふごう3回以下、こちらは1回、じきょくのよびだしふごう1回。
H-013_e	解説。応答では、じきょくのよびだしふごうは1回だけです。呼出しの「じきょく3回以下」との違いがよく問われます。
H-014_q	アマチュア局が試験電波を発射するとき、「本日は晴天なり」の連続及びじきょくのよびだしふごうの送信は、何秒間を超えてはならないか。1番、10秒間。2番、30秒間。3番、1分間。4番、3分間。
H-014_a	正解は、1番。10秒間。
H-014_e	解説。試験電波の「本日は晴天なり」の連続とじきょくのよびだしふごうの送信は、10秒間を超えてはいけません。
H-015_q	試験電波を発射する前に、しなければならないことはどれか。1番、総務大臣に試験電波の発射を届け出る。2番、発射しようとする周波数などでちょうしゅし、他の無線局の通信に混信を与えないことを確かめる。3番、付近の無線局に電話で了解を得る。4番、空中線電力を最大にして送信機の状態を確かめる。
H-015_a	正解は、2番。発射しようとする周波数などでちょうしゅし、他の無線局の通信に混信を与えないことを確かめる。
H-015_e	解説。まず受信して、ほかの局が使っていないか、混信を与えないかを確かめてから発射します。
H-016_q	非常通信の定義の一部である。空欄に入る字句はどれか。「地震、台風、洪水、津波、雪害、火災、暴動その他非常の事態が発生し、又は発生するおそれがある場合において、かっこときに人命の救助、災害の救援、交通通信の確保又は秩序の維持のために行われる無線通信」。1番、警察や消防から要請があった。2番、総務大臣の許可を受けた。3番、有線通信を利用することができないか又はこれを利用することが著しく困難である。4番、電気通信事業者の通信が混雑している。
H-016_a	正解は、3番。有線通信を利用することができないか又はこれを利用することが著しく困難である。
H-016_e	解説。非常通信のポイントは「有線通信が使えない、または使うのが著しく困難」なことです。
H-017_q	電波法の「秘密の保護」の規定で禁止されていることはどれか。1番、じきょくの通信の内容を記録しておくこと。2番、放送を受信して、その内容を他人に話すこと。3番、不特定の相手方に向けたシーキュー呼出しを受信すること。4番、特定の相手方に対して行われる無線通信を傍受して、その存在や内容を漏らし、又は窃用すること。
H-017_a	正解は、4番。特定の相手方に対して行われる無線通信を傍受して、その存在や内容を漏らし、又は窃用すること。
H-017_e	解説。対象は「特定の相手方」への通信です。傍受すること自体ではなく、その存在や内容を漏らしたり、窃用、つまり自分や他人の利益のために使ったりすることが禁止されています。
H-018_q	アマチュア局の運用で、使用してはならないとされているものはどれか。1番、通話表。2番、あんご。3番、略語。4番、キュー符号。
H-018_a	正解は、2番。あんご。
H-018_e	解説。アマチュア局はあんごを使ってはいけません。キュー符号などの略符号や通話表は使えます。
H-019_q	無線局は、他の無線局の運用を阻害するような混信その他の妨害を与えないように運用しなければならない。この規定の例外となる通信はどれか。1番、同じクラブ内の通信。2番、移動運用中の通信。3番、非常通信。4番、試験通信。
H-019_a	正解は、3番。非常通信。
H-019_e	解説。遭難通信、緊急通信、安全通信、非常通信は、混信防止の規定の例外です。
H-020_q	めんきょにんが電波法に違反したとき、総務大臣は無線局の運用の停止をどの範囲で命じることができるか。1番、1箇月以内の期間。2番、3箇月以内の期間。3番、6箇月以内の期間。4番、1年以内の期間。
H-020_a	正解は、2番。3箇月以内の期間。
H-020_e	解説。運用の停止は3か月以内の期間です。無線従事者の業務従事停止も3か月以内で、どちらも3と覚えます。
H-021_q	めんきょにんが非常通信を行ったとき、しなければならないことはどれか。1番、総務大臣に報告する。2番、通信の相手方に文書で通知する。3番、特に手続きは必要ない。4番、最寄りの警察署に届け出る。
H-021_a	正解は、1番。総務大臣に報告する。
H-021_e	解説。遭難通信、緊急通信、安全通信、非常通信を行ったときは、総務大臣に報告します。
H-022_q	無線局の免許がその効力を失ったとき、めんきょにんであった者は免許状をどうしなければならないか。1番、10日以内に返納する。2番、1箇月以内に返納する。3番、自分で廃棄する。4番、3箇月以内に返納する。
H-022_a	正解は、2番。1箇月以内に返納する。
H-022_e	解説。無線局の免許状は1か月以内に返納します。無線従事者の免許証の10日以内と、混同しないようにしましょう。
K-001_q	10オームの抵抗に2アンペアの電流が流れているとき、抵抗の両端の電圧はいくらか。1番、5ボルト。2番、12ボルト。3番、20ボルト。4番、0.2ボルト。
K-001_a	正解は、3番。20ボルト。
K-001_e	解説。オームの法則で、電圧は電流かける抵抗。2アンペアかける10オームで20ボルトです。
K-002_q	25オームの抵抗に直流電圧を加えたところ、100ワットの電力が消費された。加えた電圧はいくらか。1番、4ボルト。2番、25ボルト。3番、50ボルト。4番、2500ボルト。
K-002_a	正解は、3番。50ボルト。
K-002_e	解説。電力は、電圧の2乗わる抵抗です。電圧の2乗は100かける25で2500。2500のルートで50ボルトです。
K-003_q	20オームの抵抗を2本並列に接続したときの合成抵抗はいくらか。1番、10オーム。2番、20オーム。3番、40オーム。4番、400オーム。
K-003_a	正解は、1番。10オーム。
K-003_e	解説。同じ値の抵抗を2本並列にすると、半分になります。20オームの半分で10オーム。直列なら足し算で40オームです。
K-004_q	1.5ボルトの乾電池4本を直列に接続したときの電圧はいくらか。1番、1.5ボルト。2番、3ボルト。3番、6ボルト。4番、12ボルト。
K-004_a	正解は、3番。6ボルト。
K-004_e	解説。直列では電圧が足し算になり、1.5ボルトかける4本で6ボルトです。並列にすると電圧は1.5ボルトのままで、容量が増えます。
K-005_q	コンデンサの性質として、正しいものはどれか。1番、直流はよく通し、交流は通さない。2番、交流は周波数が低いほど通しやすい。3番、直流は通さず、交流は周波数が高いほど通しやすい。4番、直流も交流も、周波数に関係なく同じように通す。
K-005_a	正解は、3番。直流は通さず、交流は周波数が高いほど通しやすい。
K-005_e	解説。コンデンサは直流を通しません。交流に対しては、周波数が高いほど通しやすくなります。コイルはその逆で、周波数が高いほど通しにくくなります。
K-006_q	コイルに加える交流の周波数を高くすると、コイルのリアクタンスはどうなるか。1番、ゼロになる。2番、大きくなる。3番、変わらない。4番、小さくなる。
K-006_a	正解は、2番。大きくなる。
K-006_e	解説。コイルのリアクタンスは周波数に比例して大きくなります。つまり高い周波数ほど電流が流れにくくなります。
K-007_q	ダイオードの主な働きとして、正しいものはどれか。1番、信号を大きくする増幅。2番、周波数を変えるていばい。3番、交流を直流に変える整流。4番、電圧を高くする昇圧。
K-007_a	正解は、3番。交流を直流に変える整流。
K-007_e	解説。ダイオードは電流を一方向にしか流さない性質があり、交流を直流に変える整流に使われます。
K-008_q	接合形トランジスタの3つの電極の名称の組合せはどれか。1番、エミッタ、ベース、コレクタ。2番、ゲート、ドレイン、ソース。3番、アノード、カソード、ゲート。4番、カソード、グリッド、プレート。
K-008_a	正解は、1番。エミッタ、ベース、コレクタ。
K-008_e	解説。トランジスタは、エミッタ、ベース、コレクタです。ゲート、ドレイン、ソースは、電界効果トランジスタ、エフ・イー・ティーの電極です。
K-009_q	エス・エス・ビーの電波の占有周波数帯幅は、同じ音声信号を送るエー・エムの電波と比べてどうなるか。1番、約2倍になる。2番、同じになる。3番、約4倍になる。4番、約半分になる。
K-009_a	正解は、4番。約半分になる。
K-009_e	解説。エー・エムは上下2つのそくはたいを使いますが、エス・エス・ビーは片方のそくはたいだけを使うので、占有周波数帯幅は約半分になります。
K-010_q	エフ・エム通信の特徴として、正しいものはどれか。1番、電離層での反射に最も適している。2番、振幅の変化による雑音の影響を受けにくい。3番、占有周波数帯幅がエーエムより狭い。4番、受信機に検波回路が不要である。
K-010_a	正解は、2番。振幅の変化による雑音の影響を受けにくい。
K-010_e	解説。エフ・エムは周波数の変化で情報を送るので、振幅に乗る雑音はリミッタで取り除けます。そのぶん占有周波数帯幅は、エー・エムより広くなります。
K-011_q	エーエム送信機で過変調、変調度が100パーセントを超える状態、になると、どうなるか。1番、ひずみが生じ、占有周波数帯幅が広がって他の通信に混信を与える。2番、搬送波が完全になくなりエスエスビーと同じになる。3番、送信出力が増えて遠くまで届く。4番、占有周波数帯幅が狭くなる。
K-011_a	正解は、1番。ひずみが生じ、占有周波数帯幅が広がって他の通信に混信を与える。
K-011_e	解説。過変調になると波形がひずみ、不要なそくはたいが広がって近くの周波数に混信を与えます。マイクに近づきすぎない、音量を上げすぎないことが大切です。
K-012_q	エフエム送信機で、周波数偏移が一定の値を超えないようにする回路はどれか。1番、ボックス回路。2番、エージーシー回路。3番、スケルチ回路。4番、アイディーシー回路。
K-012_a	正解は、4番。アイディーシー回路。
K-012_e	解説。アイ・ディー・シーは瞬時偏移制御の回路で、大きな声でも周波数偏移が広がりすぎないようにします。エー・ジー・シーとスケルチは受信機、ボックスは声で送信を切り替える回路です。
K-013_q	エフエム受信機で、受信信号がないときに出る大きな雑音を消すための回路はどれか。1番、エージーシー回路。2番、エーエルシー回路。3番、スケルチ回路。4番、アイディーシー回路。
K-013_a	正解は、3番。スケルチ回路。
K-013_e	解説。スケルチは、信号がないときのザーッという雑音を消す回路です。
K-014_q	受信機のエージーシー回路の働きとして、正しいものはどれか。1番、送信時の周波数偏移を制限する。2番、受信電波の強さが変わっても、出力をほぼ一定に保つ。3番、受信周波数を自動的に合わせる。4番、信号がないときの雑音を消す。
K-014_a	正解は、2番。受信電波の強さが変わっても、出力をほぼ一定に保つ。
K-014_e	解説。エー・ジー・シーは自動利得制御です。強い電波でも弱い電波でも、スピーカーから出る音の大きさがほぼ一定になるように、増幅度を自動で調整します。
K-015_q	スーパヘテロダイン受信機で、受信周波数が145メガヘルツ、中間周波数が10.7メガヘルツ、局部発振周波数が受信周波数より高いとき、影像周波数はいくらか。1番、134.3メガヘルツ。2番、155.7メガヘルツ。3番、166.4メガヘルツ。4番、145.0メガヘルツ。
K-015_a	正解は、3番。166.4メガヘルツ。
K-015_e	解説。局部発振周波数は、145たす10.7で155.7メガヘルツ。影像周波数は、そこからさらに中間周波数だけ離れた、155.7たす10.7で166.4メガヘルツです。受信周波数に、中間周波数の2倍を足しても求められます。
K-016_q	短波帯の送信機の高調波によるテレビ受信障害、ティーブイアイ、を防ぐため、送信側で行う対策として適切なものはどれか。1番、送信機と空中線の間に低域フィルタ、ローパスフィルタ、を入れる。2番、空中線電力をできるだけ大きくする。3番、送信機と空中線の間に高域フィルタ、ハイパスフィルタ、を入れる。4番、過変調ぎみに変調をかける。
K-016_a	正解は、1番。送信機と空中線の間に低域フィルタ、ローパスフィルタ、を入れる。
K-016_e	解説。高調波は送信周波数より高い周波数なので、低い周波数だけを通すローパスフィルタで取り除きます。
K-017_q	周波数150メガヘルツの電波の波長はいくらか。1番、0.5メートル。2番、2メートル。3番、20メートル。4番、45メートル。
K-017_a	正解は、2番。2メートル。
K-017_e	解説。波長メートルは、300わる周波数メガヘルツ。300わる150で2メートルです。144メガヘルツ帯が、2メートルバンドと呼ばれるのはこのためです。
K-018_q	半波長ダイポールアンテナの放射抵抗は、およそいくらか。1番、約36オーム。2番、約50オーム。3番、約73オーム。4番、約300オーム。
K-018_a	正解は、3番。約73オーム。
K-018_e	解説。半波長ダイポールは約73オーム。4分の1波長の垂直接地アンテナは、その半分の約36オームです。
K-019_q	4分の1波長の垂直接地アンテナの放射抵抗は、およそいくらか。1番、約36オーム。2番、約50オーム。3番、約73オーム。4番、約600オーム。
K-019_a	正解は、1番。約36オーム。
K-019_e	解説。4分の1波長の垂直接地アンテナは約36オームで、半波長ダイポールの約73オームのほぼ半分です。
K-020_q	八木アンテナの素子について、正しいものはどれか。1番、反射器、放射器、どうはきはすべて同じ長さである。2番、反射器は放射器より短く、どうはきは放射器より長い。3番、反射器は放射器より長く、どうはきは放射器より短い。4番、電波が最も強く出るのは反射器の方向である。
K-020_a	正解は、3番。反射器は放射器より長く、どうはきは放射器より短い。
K-020_e	解説。反射器は長く、どうはきは短い。電波はどうはきの方向に強く出ます。「長く反射、短く導く」と覚えましょう。
K-021_q	同軸ケーブル、ご・ディー・に・ブイの特性インピーダンスはいくらか。1番、50オーム。2番、75オーム。3番、150オーム。4番、300オーム。
K-021_a	正解は、1番。50オーム。
K-021_e	解説。型名の2文字目がディーなら50オーム、シーなら75オームです。アマチュア無線機では50オーム系が一般的です。
K-022_q	給電線と空中線が完全に整合しているとき、ていざいはひの値はいくらか。1番、1。2番、無限大。3番、0。4番、2。
K-022_a	正解は、1番。1。
K-022_e	解説。完全に整合していると反射がなく、ていざいはひは1になります。1より大きいほど、整合がずれています。
K-023_q	回路の電流と電圧を測るときの計器のつなぎ方として、正しいものはどれか。1番、電流計も電圧計も負荷と並列につなぐ。2番、電流計は負荷と並列に、電圧計は負荷と直列につなぐ。3番、電流計は負荷と直列に、電圧計は負荷と並列につなぐ。4番、電流計も電圧計も負荷と直列につなぐ。
K-023_a	正解は、3番。電流計は負荷と直列に、電圧計は負荷と並列につなぐ。
K-023_e	解説。電流は流れる道に入れて測るので直列、電圧は両端の差を測るので並列です。
K-024_q	短波帯の電波が遠距離まで伝わるとき、主に反射に使われる電離層はどれか。1番、エフそう。2番、対流圏。3番、ディーそう。4番、イーそう。
K-024_a	正解は、1番。エフそう。
K-024_e	解説。短波の遠距離通信は、主に一番高いところにあるエフ層での反射によるものです。ディー層は一番低く、昼間に低い周波数の電波を吸収します。
K-025_q	夏季に突然発生し、50メガヘルツ帯などで普段は届かない遠距離との通信を可能にすることがある電離層はどれか。1番、ディーそう。2番、エフ2層。3番、スポラディックイーそう。4番、対流圏ダクト。
K-025_a	正解は、3番。スポラディックイーそう。
K-025_e	解説。スポラディック・イー層は、イー層の高さに突発的に現れる電子密度の高い層で、日本では夏に多く発生します。
K-026_q	ブイ・エイチ・エフ帯や、ユー・エイチ・エフ帯の電波の主な伝わり方として、正しいものはどれか。1番、主に直接波で、見通し距離内に伝わる。2番、主にエフそうで反射して地球の裏側まで伝わる。3番、主にディーそうで反射して伝わる。4番、主に地表波で数千キロメートル伝わる。
K-026_a	正解は、1番。主に直接波で、見通し距離内に伝わる。
K-026_e	解説。ブイ・エイチ・エフや、ユー・エイチ・エフは、電離層を突き抜けてしまうことが多く、主に見通しのきく範囲で、直接波によって伝わります。
K-027_q	整流回路の出力の脈流を、なめらかな直流に近づけるための回路はどれか。1番、変調回路。2番、検波回路。3番、平滑回路。4番、発振回路。
K-027_a	正解は、3番。平滑回路。
K-027_e	解説。平滑回路はコンデンサやチョークコイルを使って、整流後のでこぼこした脈流をなめらかにします。
K-028_q	144メガヘルツ帯が属する周波数帯の名称はどれか。1番、ブイエイチエフ、30メガヘルツから300メガヘルツ。2番、エムエフ、300キロヘルツから3メガヘルツ。3番、エイチエフ、3メガヘルツから30メガヘルツ。4番、ユーエイチエフ、300メガヘルツから3ギガヘルツ。
K-028_a	正解は、1番。ブイエイチエフ、30メガヘルツから300メガヘルツ。
K-028_e	解説。30メガヘルツから300メガヘルツまでがブイ・エイチ・エフなので、144メガヘルツ帯はブイ・エイチ・エフです。430メガヘルツ帯はユー・エイチ・エフ、7メガヘルツ帯や21メガヘルツ帯はエイチ・エフ、つまり短波です。
R-E1-01_q	電波法施行規則にある「アマチュア業務」の定義で、かっこに入る語句はどれか。「金銭上の利益のためでなく、もっぱら個人的な無線技術の興味によって行う自己訓練、通信及びかっこその他総務大臣が別に告示する業務を行う無線通信業務をいう。」。1番、技術的研究。2番、公共の福祉。3番、災害の救援。4番、社会福祉。
R-E1-01_a	正解は、1番。技術的研究。
R-E1-01_e	解説。自己訓練・通信・技術的研究の3つがセット。「公共の福祉」は電波法の目的のほうに出てくる言葉なので混同しないこと。
R-E1-02_q	アマチュア局のめんきょにんが、前もって総合通信局長の許可を受けなければならないのはどれか。1番、めんきょにんの氏名を変えるとき。2番、無線局の運用を休止するとき。3番、無線設備の設置場所を変えるとき。4番、無線局を廃止するとき。
R-E1-02_a	正解は、3番。無線設備の設置場所を変えるとき。
R-E1-02_e	解説。事前の許可が必要なのは「無線設備の設置場所の変更」と「無線設備の変更の工事」。ほかの選択肢は許可の対象ではない。
R-E1-03_q	アナログ信号の単一チャネルで周波数変調した電話の電波の型式はどれか。1番、エフスリーイー。2番、エースリーイー。3番、ジェイスリーイー。4番、エフツーディー。
R-E1-03_a	正解は、1番。エフスリーイー。
R-E1-03_e	解説。1文字目のエフが周波数変調、3がアナログ信号の単一チャネル、イーが電話。いわゆるエフエムの音声通信。
R-E1-04_q	無線従事者が免許証をなくして再交付を受けたあと、なくした免許証が見つかった。見つけた日から何日以内に返納しなければならないか。1番、7日。2番、10日。3番、14日。4番、1か月。
R-E1-04_a	正解は、2番。10日。
R-E1-04_e	解説。見つかった古い免許証は10日以内に返納する。免許証の返納は「10日以内」と覚える。
R-E1-05_q	めんきょにんが電波法に基づく処分に違反したとき、その無線局が総務大臣から受けることがある処分はどれか。1番、無線従事者の解任命令。2番、通信の相手方の制限。3番、電波の型式の制限。4番、運用の停止。
R-E1-05_a	正解は、4番。運用の停止。
R-E1-05_e	解説。違反したときは、期間を定めた運用の停止や、運用時間・周波数・空中線電力の制限を受けることがある。
R-E1-06_q	無線局のめんきょにんが非常通信を行ったとき、電波法の規定でとらなければならない措置はどれか。1番、中央防災会議会長に届け出る。2番、市町村長に連絡する。3番、都道府県知事に通知する。4番、総務大臣に報告する。
R-E1-06_a	正解は、4番。総務大臣に報告する。
R-E1-06_e	解説。非常通信を行ったら総務大臣に報告する。報告先はいつも総務大臣。
R-E1-07_q	無線局の免許が効力を失ったとき、めんきょにんだった者は、その免許に係る免許記録の写しと免許事項証明書をどうしなければならないか。1番、無線従事者免許証と一緒に1年間保存する。2番、1か月以内に返納する。3番、廃棄するか、効力がないことがすぐ分かるように措置する。4番、3か月以内に返納する。
R-E1-07_a	正解は、3番。廃棄するか、効力がないことがすぐ分かるように措置する。
R-E1-07_e	解説。免許記録の写しと免許事項証明書は、廃棄するか、効力がないと容易に分かるようにする。「返納」ではない点に注意。
R-E1-08_q	電波法で、無線局がなるべくぎじ空中線回路を使わなければならないのはどんな場合か。1番、他の無線局の通信に妨害を与えるおそれがあるとき。2番、工事設計書に書いた空中線を使えないとき。3番、無線設備の機器の試験や調整を行うとき。4番、物件に損傷を与えるおそれがあるとき。
R-E1-08_a	正解は、3番。無線設備の機器の試験や調整を行うとき。
R-E1-08_e	解説。試験や調整のときは、電波を外に出さないようにぎじ空中線回路、ダミーロード、を使う。
R-E1-09_q	無線局運用規則の規定で、かっこに入る語句はどれか。「無線通信は、正確に行うものとし、通信上の誤りを知ったときは、かっこ」。1番、初めから更に送信しなければならない。2番、通報の送信が終わったあと、訂正箇所を通知しなければならない。3番、直ちに訂正しなければならない。4番、適宜に通報の訂正を行わなければならない。
R-E1-09_a	正解は、3番。直ちに訂正しなければならない。
R-E1-09_e	解説。誤りに気づいたら「直ちに訂正」。
R-E1-10_q	アマチュア局が呼出しを繰り返しても応答がないとき、呼出しを再開するまでに、できる限り少なくとも何分の間隔をあけなければならないか。1番、3分間。2番、5分間。3番、10分間。4番、15分間。
R-E1-10_a	正解は、1番。3分間。
R-E1-10_e	解説。アマチュア局は少なくとも3分間あけてから呼出しを再開する。
R-E1-11_q	無線電話通信で「さようなら」を送信することになっているのはどんなときか。1番、無線機器の試験や調整が終わったとき。2番、通報を確実に受信したとき。3番、通報の送信が終わったとき。4番、通信が終了したとき。
R-E1-11_a	正解は、4番。通信が終了したとき。
R-E1-11_e	解説。「さようなら」は通信が終わったときに送る。
R-E1-12_q	無線機器の試験や調整のために電波を出す必要があるとき、発射する前に、発射しようとする周波数などでちょうしゅして確かめなければならないことはどれか。1番、非常の場合の無線通信が行われていないこと。2番、他の無線局の通信に混信を与えないこと。3番、他の無線局が通信を行っていないこと。4番、受信機が最良の状態にあること。
R-E1-12_a	正解は、2番。他の無線局の通信に混信を与えないこと。
R-E1-12_e	解説。確かめるのは「混信を与えないこと」。たきょくが通信していないことではない点がひっかけ。
R-E2-01_q	アマチュア局、人工衛星等のアマチュア局を除く、の再免許の申請は、免許の有効期間が満了する前の、いつからいつまでに行うか。1番、6か月以上1年を超えない期間。2番、3か月以上6か月を超えない期間。3番、2か月以上6か月を超えない期間。4番、1か月以上6か月を超えない期間。
R-E2-01_a	正解は、4番。1か月以上6か月を超えない期間。
R-E2-01_e	解説。アマチュア局の再免許申請は、満了前1か月以上6か月を超えない期間。
R-E2-02_q	アマチュア局のめんきょにんが、総務省令で定める場合を除き、前もって総合通信局長の許可を受けなければならないのはどれか。1番、無線設備の変更の工事をするとき。2番、無線局の運用を休止するとき。3番、免許状の訂正を受けるとき。4番、無線局を廃止するとき。
R-E2-02_a	正解は、1番。無線設備の変更の工事をするとき。
R-E2-02_e	解説。事前の許可が必要なのは「無線設備の変更の工事」と「設置場所の変更」。
R-E2-04_q	第四級アマチュア無線技士が操作できる無線設備は、どの周波数の電波を使うものか。1番、21メガヘルツ以下。2番、21メガヘルツ以上、または8メガヘルツ以下。3番、8メガヘルツ以上。4番、8メガヘルツ以上21メガヘルツ以下。
R-E2-04_a	正解は、2番。21メガヘルツ以上、または8メガヘルツ以下。
R-E2-04_e	解説。4アマは21メガヘルツ以上、30メガヘルツ超は20ワット以下、21から30メガヘルツは10ワット以下、と、8メガヘルツ以下、10ワット以下、を操作できる。
R-E2-05_q	無線局の免許を取り消されることがあるのはどれか。1番、不正な手段で無線局の免許を受けたとき。2番、免許状に書かれた目的の範囲を超えて運用したとき。3番、めんきょにんが1年以上日本を離れたとき。4番、めんきょにんがめんきょにん以外の者のために無線局を運用させたとき。
R-E2-05_a	正解は、1番。不正な手段で無線局の免許を受けたとき。
R-E2-05_e	解説。不正な手段で免許を受けた場合は免許の取消しの対象になる。
